Station,Uld Type,Carrier Code,Content Code,Sum Balance,Average Balance,Rolling SD Average,Slope,Total Uld In,Total Uld Out,Amount of Flight In,Amount of Flight Out,Sum Flight In-Out,Amount of stationary chunks,Test Statistics,p-value,#Lags Used,Number of Observations,Critical Value(1%),Critical Value(5%),Critical Value(10%),Stationarity At 1% Critical Size,Stationarity At 5% Critical Size,Stationarity At 10% Critical Size
CNS,AKE,CX,C,,,,,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.13043478260869565,0.21739130434782608,,-0.904534033733291,0.7864756283559537,1.0,3.0,-10.41719074074074,-5.77838074074074,-3.391681111111111,False,False,False
CNS,PMC,CX,C,-0.6086956521739131,-0.02428634167764608,5.296469117387593,0.14862601166949002,41.65217391304348,42.26086956521739,18.17391304347826,19.869565217391305,38.04347826086956,3.0,-4.250499125505073,0.0005405516482957733,5.0,240.0,-3.4578942529658563,-2.8736593200231484,-2.573228767361111,True,True,True
CTS,AKE,CX,C,,,,,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,,,,,,,,,,,
CTS,PMC,CX,C,-2.782608695652174,-0.1502505948158122,2.290867571546309,-0.16038816256207564,17.217391304347824,20.0,11.26086956521739,12.391304347826088,23.652173913043477,4.0,-4.6338038104659685,0.00011185370422364843,4.0,238.0,-3.458128284586202,-2.873761835239286,-2.5732834559706235,True,True,True
CTU,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
CTU,PMC,CX,C,-2.6875,-1.640625,6.643857464898602,4.175000000000001,53.473684210526315,59.68421052631579,13.578947368421053,8.105263157894736,21.68421052631579,3.0,-8.686879135523254,4.14038193174162e-14,0.0,73.0,-3.5232835753964475,-2.902030597326081,-2.5883710883843123,True,True,True
DAC,AKE,CX,C,,,,,4.714285714285714,0.07142857142857142,4.714285714285714,0.07142857142857142,4.785714285714286,,,,,,,,,,,
DAC,PMC,CX,C,37.09090909090909,-6.257575757575759,109.13550343267829,63.218181818181804,488.57142857142856,453.57142857142856,39.5,37.142857142857146,76.64285714285714,1.0,-7.730149217390183,1.1310585712390816e-11,0.0,68.0,-3.530398990560757,-2.9050874099328317,-2.5900010121107266,True,True,True
DEL,AKE,CX,C,,,,,0.21739130434782608,0.08695652173913043,0.21739130434782608,0.08695652173913043,0.30434782608695654,,-2.3333333333333335,0.161442522862079,0.0,6.0,-5.354256481481482,-3.6462381481481483,-2.901197777777778,False,False,False
DEL,PMC,CX,C,364.5652173913044,26.32919254658385,20.0009351745167,-0.9486622073578596,587.1304347826087,222.56521739130434,99.91304347826087,80.65217391304348,180.56521739130434,1.0,-12.160494548625291,1.4975407595240012e-22,0.0,314.0,-3.4513486122290717,-2.870789013306053,-2.5716978530569192,True,True,True
DFW,AKE,CX,C,,,,,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,,,,,,,,,,,
DFW,PMC,CX,C,-351.95652173913044,-32.25920070267896,54.2047970483883,12.482697013131796,89.91304347826087,441.8695652173913,16.391304347826086,49.34782608695652,65.73913043478261,3.0,-14.333852625872385,1.0884082128075438e-26,0.0,244.0,-3.457437824930831,-2.873459364726563,-2.573122099570008,True,True,True
DPS,AKE,CX,C,,,,,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.30434782608695654,,-2.82842712474619,0.05432648529964076,0.0,6.0,-5.354256481481482,-3.6462381481481483,-2.901197777777778,False,False,False
DPS,PMC,CX,C,54.17391304347826,4.218904284121675,4.367974880685402,-0.13006124310472136,77.52173913043478,23.347826086956523,26.08695652173913,14.173913043478262,40.26086956521739,0.0,-15.081002503985045,8.45484266646467e-28,0.0,302.0,-3.4521902441030963,-2.871158406898617,-2.5718948388228586,True,True,True
DRW,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
DRW,PMC,CX,C,,,,,2.0,0.0,1.0,0.0,1.0,,,,,,,,,,,
DUS,AKE,CX,C,,,,,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.13043478260869565,,,,,,,,,,,
DUS,PMC,CX,C,1.6521739130434783,0.10170807453416153,4.39917292497858,-0.41997929606625267,55.82608695652174,54.17391304347826,19.391304347826086,14.956521739130435,34.34782608695652,5.0,-2.413800750394361,0.13787907491232088,14.0,159.0,-3.472161410886292,-2.8798954259680936,-2.5765565828092245,False,False,False
DWC,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
DWC,PMC,CX,C,-255.78947368421052,-30.54304511278195,79.9672661187384,-2.5520050125313296,32.17391304347826,242.82608695652175,19.52173913043478,58.95652173913044,78.47826086956522,4.0,-9.977199093807918,2.1618308739160127e-17,0.0,100.0,-3.497501033,-2.89090644,-2.5824349,True,True,True
DXB,AKE,CX,C,10.666666666666666,1.7595238095238095,1.0818173972322918,0.13095238095238096,3.4347826086956523,0.13043478260869565,2.0434782608695654,0.13043478260869565,2.1739130434782608,0.0,-5.4568113377808505,2.5707632396637593e-06,0.0,32.0,-3.653519805908203,-2.9572185644531253,-2.6175881640625,True,True,True
DXB,PMC,CX,C,43.21739130434783,3.130434782608696,6.753059432676367,0.006808408982321963,162.7391304347826,119.52173913043478,64.73913043478261,59.78260869565217,124.52173913043478,0.0,-15.32142041324282,4.059293940979957e-28,0.0,314.0,-3.4513486122290717,-2.870789013306053,-2.5716978530569192,True,True,True
EWR,AKE,CX,C,,,,,0.17391304347826086,0.5652173913043478,0.17391304347826086,0.5652173913043478,0.7391304347826086,,-0.0,0.958532086060056,8.0,8.0,-4.6651863281249994,-3.3671868750000002,-2.802960625,False,False,False
EWR,PMC,CX,C,70.78260869565217,5.682952554691686,4.662788408321083,-0.22930837278663366,86.34782608695652,15.565217391304348,25.652173913043477,11.08695652173913,36.73913043478261,0.0,-5.2616551154530935,6.571232475419297e-06,16.0,274.0,-3.4544435065994437,-2.8721468827772774,-2.572422013959188,True,True,True
FCO,AKE,CX,C,-6.0,-1.5,0.9428090415820635,-0.19999999999999993,0.21739130434782608,0.8695652173913043,0.21739130434782608,0.43478260869565216,0.6521739130434783,0.0,0.0,0.958532086060056,8.0,6.0,-5.354256481481482,-3.6462381481481483,-2.901197777777778,False,False,False
FCO,PMC,CX,C,-6.260869565217392,-0.9072177822177825,4.62085535106877,-0.1904718469935861,74.1304347826087,80.3913043478261,21.956521739130434,22.26086956521739,44.21739130434783,2.0,-8.21642022275571,6.605486980911629e-13,2.0,235.0,-3.4584868856997004,-2.873918902362675,-2.573367247623359,True,True,True
FJR,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
